Fecha,Precipitacion,Temperatura,Caudal_Real,Inercia_3meses,Mes,Caudal_IA
2000-10-01,56.830000000000005,24.600000000000005,,59.82444444444443,10,55.60083333333332
2000-11-01,23.583333333333332,23.616666666666664,,51.80333333333332,11,36.546666666666674
2000-12-01,29.96666666666667,23.22,,36.79333333333332,12,20.55333333333332
2001-01-01,23.44,22.22666666666667,,25.663333333333316,1,27.97583333333333
2001-02-01,17.183333333333334,22.5,,23.529999999999987,2,24.548333333333336
2001-03-01,36.50333333333333,23.2,,25.708888888888875,3,23.78916666666667
2001-04-01,36.20333333333333,23.603333333333335,,29.96333333333332,4,20.311666666666653
2001-05-01,82.60333333333334,24.313333333333333,,51.76999999999998,5,46.19583333333333
2001-06-01,30.29666666666667,25.346666666666664,,49.701111111111096,6,32.37833333333334
2001-07-01,38.76,25.733333333333334,,50.55333333333332,7,33.774166666666666
2001-08-01,38.17,26.146666666666665,,35.7422222222222,8,21.459999999999994
2001-09-01,36.82,25.64333333333333,,37.91666666666665,9,22.90833333333333
2001-10-01,50.910000000000004,25.13,,41.96666666666665,10,31.809166666666673
2001-11-01,37.669999999999995,23.56,,41.79999999999998,11,28.704999999999995
2001-12-01,43.11666666666667,23.406666666666666,,43.89888888888887,12,29.317499999999995
2002-01-01,18.060000000000002,23.093333333333334,,32.94888888888887,1,22.958333333333325
2002-02-01,18.39666666666667,22.736666666666668,,26.524444444444427,2,26.985833333333325
2002-03-01,25.986666666666668,23.37,,20.81444444444443,3,9.710833333333335
2002-04-01,49.68000000000001,23.426666666666666,,31.35444444444443,4,40.40083333333331
2002-05-01,41.800000000000004,24.7,,39.155555555555544,5,27.497499999999995
2002-06-01,76.76666666666667,25.069999999999997,,56.08222222222221,6,37.17166666666667
2002-07-01,30.76666666666667,25.813333333333333,,49.777777777777764,7,31.146666666666665
2002-08-01,44.093333333333334,25.77333333333333,,50.5422222222222,8,34.467500000000015
2002-09-01,66.82666666666667,25.30333333333333,,47.22888888888887,9,37.45166666666667
2002-10-01,38.47666666666667,24.936666666666667,,49.798888888888875,10,30.99416666666667
2002-11-01,20.113333333333333,24.91333333333333,,41.805555555555536,11,26.27166666666666
2002-12-01,28.810000000000002,23.643333333333334,,29.133333333333315,12,22.23833333333333
2003-01-01,25.926666666666666,22.94333333333333,,24.949999999999978,1,19.032499999999995
2003-02-01,15.823333333333332,23.183333333333334,,23.519999999999982,2,16.49583333333333
2003-03-01,28.916666666666668,24.14,,23.55555555555554,3,18.06083333333333
2003-04-01,69.17999999999999,23.843333333333334,,37.97333333333331,4,28.062500000000014
2003-05-01,50.00333333333333,24.956666666666663,,49.366666666666646,5,43.29999999999999
2003-06-01,43.77,25.103333333333335,,54.31777777777776,6,33.70000000000001
2003-07-01,35.29,25.543333333333333,,43.02111111111109,7,25.585833333333333
2003-08-01,62.20666666666667,25.563333333333333,,47.088888888888874,8,35.535833333333336
2003-09-01,36.42333333333333,25.546666666666667,,44.63999999999998,9,27.37833333333334
2003-10-01,82.94,25.046666666666667,,60.52333333333331,10,38.78250000000001
2003-11-01,43.45333333333334,23.92,,54.272222222222204,11,36.981666666666676
2003-12-01,70.21666666666667,22.689999999999998,,65.53666666666665,12,59.415833333333325
2004-01-01,22.613333333333333,21.92,,45.42777777777777,1,49.26583333333334
2004-02-01,20.89,22.69666666666667,,37.906666666666645,2,34.555833333333354
2004-03-01,32.21333333333333,22.923333333333336,,25.23888888888887,3,22.168333333333337
2004-04-01,61.76666666666667,23.833333333333332,,38.289999999999985,4,27.21083333333333
2004-05-01,83.24333333333334,24.346666666666664,,59.07444444444443,5,68.34249999999999
2004-06-01,35.74,25.473333333333333,,60.24999999999998,6,36.647499999999994
2004-07-01,47.74333333333333,25.546666666666667,,55.57555555555553,7,35.87750000000001
2004-08-01,32.4,25.99,,38.62777777777776,8,23.469166666666666
2004-09-01,111.02333333333333,25.356666666666666,,63.72222222222219,9,100.72666666666667
2004-10-01,45.529999999999994,24.91333333333333,,62.984444444444414,10,25.722499999999997
2004-11-01,34.973333333333336,23.176666666666666,,63.8422222222222,11,40.800000000000026
2004-12-01,35.42000000000001,23.090000000000003,,38.64111111111109,12,22.164999999999996
2005-01-01,29.24333333333333,21.89,,33.212222222222195,1,54.065
2005-02-01,12.036666666666667,21.656666666666666,,25.566666666666638,2,29.369166666666665
2005-03-01,16.576666666666668,24.50333333333333,,19.285555555555526,3,7.8725
2005-04-01,57.23333333333334,24.75666666666667,,28.61555555555553,4,27.723333333333336
2005-05-01,114.42,25.21666666666667,,62.743333333333304,5,102.59500000000001
2005-06-01,84.91666666666667,25.636666666666667,,85.52333333333331,6,76.45166666666668
2005-07-01,71.17,25.87666666666667,,90.16888888888884,7,79.815
2005-08-01,69.02,25.97666666666667,,75.03555555555552,8,44.00333333333333
2005-09-01,60.79666666666666,26.093333333333334,,66.99555555555551,9,37.060833333333335
2005-10-01,125.54333333333334,25.05666666666667,,85.11999999999996,10,128.785
2005-11-01,31.916666666666668,24.439999999999998,,72.75222222222219,11,36.877500000000005
2005-12-01,18.163333333333334,23.083333333333332,,58.541111111111086,12,47.20666666666667
2006-01-01,22.526666666666667,22.400000000000002,,24.202222222222193,1,26.27583333333333
2006-02-01,27.166666666666668,22.72,,22.61888888888886,2,24.643333333333327
2006-03-01,33.03666666666666,23.319999999999997,,27.57666666666664,3,21.707500000000003
2006-04-01,62.44,23.669999999999998,,40.88111111111108,4,26.455000000000005
2006-05-01,47.453333333333326,24.993333333333336,,47.643333333333295,5,35.869166666666665
2006-06-01,61.470000000000006,25.66,,57.12111111111108,6,41.155
2006-07-01,57.300000000000004,25.613333333333333,,55.407777777777746,7,34.155
2006-08-01,69.56333333333333,25.873333333333335,,62.77777777777775,8,37.14916666666666
2006-09-01,42.50666666666667,26.083333333333332,,56.45666666666664,9,33.35333333333335
2006-10-01,46.82333333333333,25.763333333333332,,52.96444444444441,10,34.72083333333335
2006-11-01,30.523333333333337,24.563333333333333,,39.95111111111108,11,26.646666666666665
2006-12-01,21.13,23.74333333333333,,32.825555555555525,12,21.43583333333333
2007-01-01,19.663333333333334,22.743333333333336,,23.772222222222194,1,18.165
2007-02-01,20.76,23.593333333333334,,20.51777777777774,2,8.174166666666666
2007-03-01,70.44333333333333,23.52,,36.95555555555552,3,26.855
2007-04-01,39.983333333333334,24.299999999999997,,43.728888888888854,4,24.31666666666667
2007-05-01,85.30333333333333,25.076666666666668,,65.2433333333333,5,54.18083333333333
2007-06-01,48.82333333333333,25.896666666666665,,58.03666666666663,6,48.7825
